,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,57.34,82,39,6.8,AU,1651507383
1,getulio vargas,-32.6796,-53.5494,64.89,56,52,7.49,UY,1651507384
2,verkhnechusovskiye gorodki,58.1671,57.1086,36.16,83,97,3.98,RU,1651507385
3,bluff,-46.6,168.3333,46.8,81,46,8.66,NZ,1651507386
4,kodiak,57.79,-152.4072,38.71,93,100,14.97,US,1651507387
5,castro,-24.7911,-50.0119,74.55,58,50,8.12,BR,1651507388
6,bredasdorp,-34.5322,20.0403,63.0,77,55,5.64,ZA,1651507389
7,velykyy burluk,50.0379,37.3987,52.47,60,80,3.2,UA,1651507390
8,tiksi,71.6872,128.8694,0.68,99,26,5.77,RU,1651507391
9,cayenne,4.9333,-52.3333,84.24,1,100,12.66,GF,1651507205
10,jamestown,42.097,-79.2353,53.19,85,100,11.5,US,1651507250
11,kapaa,22.0752,-159.319,71.92,96,75,14.97,US,1651507392
12,port alfred,-33.5906,26.891,67.17,82,35,4.0,ZA,1651507393
13,albany,42.6001,-73.9662,55.42,80,100,5.01,US,1651507299
14,bathsheba,13.2167,-59.5167,82.06,73,23,18.16,BB,1651507394
15,kapiri mposhi,-13.9652,28.6809,62.55,68,59,7.52,ZM,1651507395
16,saint george,37.1041,-113.5841,65.43,35,0,3.0,US,1651507120
17,georgetown,5.4112,100.3354,82.33,94,40,3.44,MY,1651507174
18,sao joao da barra,-21.6403,-41.0511,83.39,55,0,6.51,BR,1651507397
19,kirkuk,35.4681,44.3922,72.88,49,1,9.15,IQ,1651507398
20,ponta delgada,37.7333,-25.6667,65.12,68,75,8.05,PT,1651507399
21,hoa binh,20.8133,105.3383,72.05,61,99,1.45,VN,1651507400
22,fortuna,40.5982,-124.1573,52.66,87,75,12.66,US,1651507401
23,ushuaia,-54.8,-68.3,41.34,87,97,5.99,AR,1651507402
24,chuy,-33.6971,-53.4616,63.41,54,91,9.62,UY,1651507403
25,arraial do cabo,-22.9661,-42.0278,82.26,74,0,11.5,BR,1651507403
26,yellowknife,62.456,-114.3525,36.97,63,10,14.79,CA,1651507206
27,kaitangata,-46.2817,169.8464,49.08,85,84,3.96,NZ,1651507405
28,port hardy,50.6996,-127.4199,46.58,93,75,8.05,CA,1651507212
